Date,Country,Confirmed,Deaths,Lat,Long,Recovered,max,max,max,median,median,median,min,min,min,Currency/USD
,,covid-19,covid-19,covid-19,covid-19,covid-19,aqi,pm10,pm25,aqi,pm10,pm25,aqi,pm10,pm25,forex
2019-08-02,Indonesia,,,,,,,,,,,,,,,14329.0
2019-08-02,Malaysia,,,,,,,,,,,,,,,4.1405
2019-08-02,Philippines,,,,,,,,,,,,,,,51.3
2019-08-02,Singapore,,,,,,,,,,,,,,,1.3767
2019-08-02,Thailand,,,,,,,,,,,,,,,30.93
2019-08-05,Indonesia,,,,,,,,,,,,,,,14173.0
2019-08-05,Malaysia,,,,,,,,,,,,,,,4.1542
2019-08-05,Philippines,,,,,,,,,,,,,,,51.62
2019-08-05,Singapore,,,,,,,,,,,,,,,1.3767
2019-08-05,Thailand,,,,,,,,,,,,,,,30.75
2019-08-06,Indonesia,,,,,,,,,,,,,,,14248.0
2019-08-06,Malaysia,,,,,,,,,,,,,,,4.1765
2019-08-06,Philippines,,,,,,,,,,,,,,,52.31
2019-08-06,Singapore,,,,,,,,,,,,,,,1.3852
2019-08-06,Thailand,,,,,,,,,,,,,,,30.817
2019-08-07,Indonesia,,,,,,,,,,,,,,,14258.0
2019-08-07,Malaysia,,,,,,,,,,,,,,,4.1903
2019-08-07,Philippines,,,,,,,,,,,,,,,52.05
2019-08-07,Singapore,,,,,,,,,,,,,,,1.3805
2019-08-07,Thailand,,,,,,,,,,,,,,,30.714
2019-08-08,Indonesia,,,,,,,,,,,,,,,14274.5
2019-08-08,Malaysia,,,,,,,,,,,,,,,4.204
2019-08-08,Philippines,,,,,,,,,,,,,,,52.37
2019-08-08,Singapore,,,,,,,,,,,,,,,1.3825
2019-08-08,Thailand,,,,,,,,,,,,,,,30.794
2019-08-09,Indonesia,,,,,,,,,,,,,,,14236.5
2019-08-09,Malaysia,,,,,,,,,,,,,,,4.1826
2019-08-09,Philippines,,,,,,,,,,,,,,,51.96
2019-08-09,Singapore,,,,,,,,,,,,,,,1.3823
2019-08-09,Thailand,,,,,,,,,,,,,,,30.722
2019-08-12,Indonesia,,,,,,,,,,,,,,,14183.0
2019-08-12,Malaysia,,,,,,,,,,,,,,,4.182
2019-08-12,Philippines,,,,,,,,,,,,,,,52.034
2019-08-12,Singapore,,,,,,,,,,,,,,,1.3876
2019-08-12,Thailand,,,,,,,,,,,,,,,30.77
2019-08-13,Indonesia,,,,,,,,,,,,,,,14241.0
2019-08-13,Malaysia,,,,,,,,,,,,,,,4.1994
2019-08-13,Philippines,,,,,,,,,,,,,,,52.056
2019-08-13,Singapore,,,,,,,,,,,,,,,1.3872
2019-08-13,Thailand,,,,,,,,,,,,,,,30.82
2019-08-14,Indonesia,,,,,,,,,,,,,,,14232.7998
2019-08-14,Malaysia,,,,,,,,,,,,,,,4.185
2019-08-14,Philippines,,,,,,,,,,,,,,,51.928
2019-08-14,Singapore,,,,,,,,,,,,,,,1.3828
2019-08-14,Thailand,,,,,,,,,,,,,,,30.778
2019-08-15,Indonesia,,,,,,,,,,,,,,,14238.0
2019-08-15,Malaysia,,,,,,,,,,,,,,,4.1875
2019-08-15,Philippines,,,,,,,,,,,,,,,52.4
2019-08-15,Singapore,,,,,,,,,,,,,,,1.3891
2019-08-15,Thailand,,,,,,,,,,,,,,,30.83
2019-08-16,Indonesia,,,,,,,,,,,,,,,14333.0
2019-08-16,Malaysia,,,,,,,,,,,,,,,4.1895
2019-08-16,Philippines,,,,,,,,,,,,,,,52.636
2019-08-16,Singapore,,,,,,,,,,,,,,,1.3889
2019-08-16,Thailand,,,,,,,,,,,,,,,30.84
2019-08-19,Indonesia,,,,,,,,,,,,,,,14228.0
2019-08-19,Malaysia,,,,,,,,,,,,,,,4.1751
2019-08-19,Philippines,,,,,,,,,,,,,,,52.368
2019-08-19,Singapore,,,,,,,,,,,,,,,1.3849
2019-08-19,Thailand,,,,,,,,,,,,,,,30.881
2019-08-20,Indonesia,,,,,,,,,,,,,,,14337.2998
2019-08-20,Malaysia,,,,,,,,,,,,,,,4.1712
2019-08-20,Philippines,,,,,,,,,,,,,,,52.448
2019-08-20,Singapore,,,,,,,,,,,,,,,1.3873
2019-08-20,Thailand,,,,,,,,,,,,,,,30.873
2019-08-21,Indonesia,,,,,,,,,,,,,,,14326.0996
2019-08-21,Malaysia,,,,,,,,,,,,,,,4.1781
2019-08-21,Philippines,,,,,,,,,,,,,,,52.328
2019-08-21,Singapore,,,,,,,,,,,,,,,1.3848
2019-08-21,Thailand,,,,,,,,,,,,,,,30.79
2019-08-22,Indonesia,,,,,,,,,,,,,,,14275.0
2019-08-22,Malaysia,,,,,,,,,,,,,,,4.1725
2019-08-22,Philippines,,,,,,,,,,,,,,,52.23
2019-08-22,Singapore,,,,,,,,,,,,,,,1.3836
2019-08-22,Thailand,,,,,,,,,,,,,,,30.774
2019-08-23,Indonesia,,,,,,,,,,,,,,,14228.0
2019-08-23,Malaysia,,,,,,,,,,,,,,,4.1856
2019-08-23,Philippines,,,,,,,,,,,,,,,52.34
2019-08-23,Singapore,,,,,,,,,,,,,,,1.3859
2019-08-23,Thailand,,,,,,,,,,,,,,,30.765
2019-08-26,Indonesia,,,,,,,,,,,,,,,14206.0
2019-08-26,Malaysia,,,,,,,,,,,,,,,4.19
2019-08-26,Philippines,,,,,,,,,,,,,,,52.449
2019-08-26,Singapore,,,,,,,,,,,,,,,1.3906
2019-08-26,Thailand,,,,,,,,,,,,,,,30.694
2019-08-27,Indonesia,,,,,,,,,,,,,,,14253.7998
2019-08-27,Malaysia,,,,,,,,,,,,,,,4.1984
2019-08-27,Philippines,,,,,,,,,,,,,,,52.287
2019-08-27,Singapore,,,,,,,,,,,,,,,1.3886
2019-08-27,Thailand,,,,,,,,,,,,,,,30.6
2019-08-28,Indonesia,,,,,,,,,,,,,,,14343.7998
2019-08-28,Malaysia,,,,,,,,,,,,,,,4.2
2019-08-28,Philippines,,,,,,,,,,,,,,,52.228
2019-08-28,Singapore,,,,,,,,,,,,,,,1.389
2019-08-28,Thailand,,,,,,,,,,,,,,,30.595
2019-08-29,Indonesia,,,,,,,,,,,,,,,14311.2998
2019-08-29,Malaysia,,,,,,,,,,,,,,,4.212
2019-08-29,Philippines,,,,,,,,,,,,,,,52.42
2019-08-29,Singapore,,,,,,,,,,,,,,,1.3884
2019-08-29,Thailand,,,,,,,,,,,,,,,30.62
2019-08-30,Indonesia,,,,,,,,,,,,,,,14231.0
2019-08-30,Malaysia,,,,,,,,,,,,,,,4.2155
2019-08-30,Philippines,,,,,,,,,,,,,,,52.049
2019-08-30,Singapore,,,,,,,,,,,,,,,1.3877
2019-08-30,Thailand,,,,,,,,,,,,,,,30.632
2019-09-02,Indonesia,,,,,,,,,,,,,,,14178.0
